rad_loc_idx,tx1_psd,tx1_pathloss,tx1_interference,tx2_psd,tx2_pathloss,tx2_interference,tx3_psd,tx3_pathloss,tx3_interference,aggregation,tx1_scaled_psd,tx2_scaled_psd,tx3_scaled_psd,interference_threshold,tx1_distance,tx2_distance,tx3_distance
0,-60,122.80566406361515,0.020865730493600076,-60,111.12226545355324,0.3074492618170198,-60,123.49732884764506,0.01779373487100777,0.34610872718162766,-182.80566406361515,-171.12226545355324,-183.49732884764506,-166,1381.284705941118,359.8431772072017,1495.7755928099825
0,-59,122.80566406361515,0.02626839835404171,-59,111.12226545355324,0.38705568853880234,-59,123.49732884764506,0.022400984999839668,0.4357250718926837,-181.80566406361515,-170.12226545355324,-182.49732884764506,-166,1381.284705941118,359.8431772072017,1495.7755928099825
0,-58,122.80566406361515,0.03306995421503489,-58,111.12226545355324,0.48727424208098835,-58,123.49732884764506,0.028201169265517967,0.5485453655615412,-180.80566406361515,-169.12226545355324,-181.49732884764506,-166,1381.284705941118,359.8431772072017,1495.7755928099825
0,-57,122.80566406361515,0.041632605728177285,-57,111.12226545355324,0.6134419258685011,-57,123.49732884764506,0.03550316863066938,0.6905777002273478,-179.80566406361515,-168.12226545355324,-180.49732884764506,-166,1381.284705941118,359.8431772072017,1495.7755928099825
0,-56,122.80566406361515,0.0524123453104095,-56,111.12226545355324,0.7722776291358059,-56,123.49732884764506,0.044695841188362895,0.8693858156345783,-178.80566406361515,-167.12226545355324,-179.49732884764506,-166,1381.284705941118,359.8431772072017,1495.7755928099825
0,-55,122.80566406361515,0.0659832334030056,-55,111.12226545355324,0.9722399322792208,-55,123.49732884764506,0.05626873027354662,1.0944918959557732,-177.80566406361515,-166.12226545355324,-178.49732884764506,-166,1381.284705941118,359.8431772072017,1495.7755928099825
0,-54,122.80566406361515,0.08306796928338978,-54,111.12226545355324,1.2239775571073452,-54,123.49732884764506,0.07083813443075981,1.3778836608214948,-176.80566406361515,-165.12226545355324,-177.49732884764506,-166,1381.284705941118,359.8431772072017,1495.7755928099825
0,-53,122.80566406361515,0.1045763774369961,-53,111.12226545355324,1.5408964501081885,-53,123.49732884764506,0.08917992755897441,1.734652755104159,-175.80566406361515,-164.12226545355324,-176.49732884764506,-166,1381.284705941118,359.8431772072017,1495.7755928099825
0,-52,122.80566406361515,0.131653859028813,-52,111.12226545355324,1.9398736979846278,-52,123.49732884764506,0.11227087702595617,2.1837984340393968,-174.80566406361515,-163.12226545355324,-175.49732884764506,-166,1381.284705941118,359.8431772072017,1495.7755928099825
0,-51,122.80566406361515,0.16574238869213886,-51,111.12226545355324,2.4421562940639596,-51,123.49732884764506,0.14134066009239366,2.749239342848492,-173.80566406361515,-162.12226545355324,-174.49732884764506,-166,1381.284705941118,359.8431772072017,1495.7755928099825
1,-60,121.83129502537594,0.02611382548526897,-60,109.4805108840855,0.4486926046908888,-60,122.96726948263446,0.020103563763778087,0.49490999393993584,-181.83129502537594,-169.4805108840855,-182.96726948263446,-166,1234.7093908227375,297.869162407905,1407.2247802211689
1,-59,121.83129502537594,0.03287535850256318,-59,109.4805108840855,0.5648705221294764,-59,122.96726948263446,0.025308887289844706,0.6230547679218843,-180.83129502537594,-168.4805108840855,-181.96726948263446,-166,1234.7093908227375,297.869162407905,1407.2247802211689
1,-58,121.83129502537594,0.04138762424072029,-58,109.4805108840855,0.7111298546822339,-58,122.96726948263446,0.03186200135341999,0.7843794802763742,-179.83129502537594,-167.4805108840855,-180.96726948263446,-166,1234.7093908227375,297.869162407905,1407.2247802211689
1,-57,121.83129502537594,0.052103931890431165,-57,109.4805108840855,0.8952594451449605,-57,122.96726948263446,0.04011188317444048,0.9874752602098321,-178.83129502537594,-166.4805108840855,-179.96726948263446,-166,1234.7093908227375,297.869162407905,1407.2247802211689
1,-56,121.83129502537594,0.06559496391125597,-56,109.4805108840855,1.1270648656417408,-56,122.96726948263446,0.050497869043221955,1.2431576985962187,-177.83129502537594,-165.4805108840855,-178.96726948263446,-166,1234.7093908227375,297.869162407905,1407.2247802211689
1,-55,121.83129502537594,0.08257916695360168,-55,109.4805108840855,1.4188906000967592,-55,122.96726948263446,0.06357305057996587,1.5650428176303266,-176.83129502537594,-164.4805108840855,-177.96726948263446,-166,1234.7093908227375,297.869162407905,1407.2247802211689
1,-54,121.83129502537594,0.10396101176268169,-54,109.4805108840855,1.7862774330176916,-54,122.96726948263446,0.08003372888039528,1.9702721736607685,-175.83129502537594,-163.4805108840855,-176.96726948263446,-166,1234.7093908227375,297.869162407905,1407.2247802211689
1,-53,121.83129502537594,0.13087915954387286,-53,109.4805108840855,2.2487900529404143,-53,122.96726948263446,0.10075649508817475,2.4804257075724623,-174.83129502537594,-162.4805108840855,-175.96726948263446,-166,1234.7093908227375,297.869162407905,1407.2247802211689
1,-52,121.83129502537594,0.16476709982404525,-52,109.4805108840855,2.8310589434366475,-52,122.96726948263446,0.12684491206981674,3.1226709553305096,-173.83129502537594,-161.4805108840855,-174.96726948263446,-166,1234.7093908227375,297.869162407905,1407.2247802211689
1,-51,121.83129502537594,0.20742948899611569,-51,109.4805108840855,3.5640920461795527,-51,122.96726948263446,0.15968828316148953,3.9312098183371575,-172.83129502537594,-160.4805108840855,-173.96726948263446,-166,1234.7093908227375,297.869162407905,1407.2247802211689
2,-60,120.75335087139811,0.03347070906744265,-60,109.83701879441838,0.4133311349409444,-60,122.4835943009397,0.022471940169495608,0.4692737841778827,-180.7533508713981,-169.83701879441838,-182.4835943009397,-166,1090.6051485209334,310.349421168285,1331.0050861686173
